vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L2__34,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,heater_413,1,1,0,102042512,178266.765625,2702508.125,151426.195312,674780,374897.234375,285355.3125,145061.78125,297466.734375,318255.265625
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L2__35,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,heater_413,2,2,0,102400000,63151.693359,148869.292968,59072.714843,141862.128907,62819.568359,58421.271485,77848.0625,154118.03125,143334.226562
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L2__36,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,heater_413,3,3,0,31720378,46412.419922,94666.214844,36174.56836,66674.410157,23185.719726,21762.705078,37172.613282,52085.291015,57531.408204
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L2__37,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,heater_413,4,4,0,6828235.75,64014.740235,219886.210938,68380.78125,176642.609375,61805.052735,51686.332032,66965.792969,99096.929688,98196.671875
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L2__38,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,heater_413,5,5,0,16731914,73557.15625,259989.554688,69928.84375,182222.601562,62840.4375,52282.837891,67765.359375,105372.53125,115106.195313
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L2__39,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,heater_413,6,6,0,22755752.5,85732.296875,362306.5,77560.171875,215784.09375,74326.921875,60641.697265,73311.066406,115016.417968,117956.417968
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L2__40,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,heater_413,7,7,0,23422911,86059.410156,362686.515625,78100.066407,221777.25,76801.609375,61481.458985,73404.617187,118150.464843,119807.300781
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L2__41,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,heater_413,8,8,0,25321707,85399.933593,362081.203125,77654.878907,220297.828125,76325.976562,61597.990235,72957.671875,118690.996093,120085.597657
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L2__42,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,heater_413,9,9,0,24563477,84286.105468,359439.03125,76971.675782,218857.679688,76382.734375,61358.71289,72507.855469,119797.570312,119926.699218
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L2__43,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,heater_413,10,10,0,24328579,83819.371093,359741.984375,76370.523438,217914.226562,76588.890625,60428.863282,70999.089843,116483.066407,117901.566407
